年,月,日,時,水戸石川一般環境大気測定局,独立行政法人国立環境研究所,日立市消防本部,宇都宮市中央生涯学習センター,栃木県庁那須庁舎,日光特別地域気象観測所,群馬県衛生環境研究所,館林保健福祉事務所,さいたま市役所,飯能市役所,寄居町役場,東邦大学,千葉県環境研究センター,千葉県森林研究センター,君津市糠田測定局,東京都多摩小平保健所,独立行政法人森林総研多摩森林科学園,神奈川県庁第二分庁舎,川崎生命科学・環境研究センター,神奈川県環境科学センター
2017,2,10,14,0,0,12,12,0,0,20,4,4,24,12,0,12,69,12,4,12,32,0,8
2017,2,10,15,0,0,12,8,4,0,41,4,12,16,12,0,4,8,4,12,4,12,4,0
2017,2,10,16,0,8,12,28,0,0,12,0,8,28,4,4,12,12,4,0,98,8,8,4
2017,2,10,17,4,12,8,4,0,0,45,4,12,20,16,16,24,4,-9998,12,143,122,20,53
2017,2,10,18,4,16,4,4,4,0,4,4,12,20,4,0,196,28,-9998,16,28,41,20,-9998
2017,2,10,19,0,24,12,4,8,8,4,12,8,0,4,0,184,4,36,0,32,106,12,213
2017,2,10,20,4,16,4,0,0,0,0,4,4,8,0,4,4,4,4,0,0,496,32,65
2017,2,10,21,4,4,12,0,8,0,0,0,8,0,0,0,8,16,0,8,0,4,0,8
2017,2,10,22,0,0,0,4,0,0,4,0,0,0,4,8,32,4,4,0,4,0,4,8
2017,2,10,23,0,12,4,0,4,0,0,0,4,4,4,0,0,4,4,0,0,0,0,0
2017,2,10,24,0,0,4,4,8,0,0,0,0,0,0,0,4,4,0,0,0,4,8,20
2017,2,11,1,0,0,0,12,4,0,0,0,4,4,0,0,4,0,0,0,0,4,4,4
2017,2,11,2,4,8,0,8,4,0,0,4,0,0,0,0,4,0,0,0,0,0,0,20
2017,2,11,3,12,0,4,0,4,0,0,4,0,0,0,4,0,4,0,4,0,16,0,0
2017,2,11,4,4,16,0,4,4,0,4,0,4,4,0,0,0,0,4,4,4,0,0,0
